Doha;Qatar;primary;1186023
Rosario;Argentina;minor;1193605
Pikine;Senegal;;1170791
Xinyu;China;minor;1186700
Ahvaz;Iran;admin;1184788
Jacksonville;United States;;1181496
Medina;Saudi Arabia;admin;1180770
Srinagar;India;admin;1180570
Omsk;Russia;admin;1178391
Liaoyuan;China;;1176239
Cilacap;Indonesia;minor;1174964
Yingtan;China;;1175000
Bandar Lampung;Indonesia;admin;1166761
Samara;Russia;admin;1169719
Guankou;China;minor;1168056
Ulsan;South Korea;admin;1166033
Dingzhou;China;;1165182
Campinas;Brazil;;1164098
Lianyuan;China;minor;1162928
Dakar;Senegal;primary;1146053
Rongcheng;China;minor;1162770
Kaiyuan;China;minor;1160000
Nay Pyi Taw;Myanmar;primary;1160242
Kigali;Rwanda;primary;1156663
Leiyang;China;minor;1151554
Yichun;China;minor;1148126
Benin City;Nigeria;admin;1147188
Birmingham;United Kingdom;;1137100
Xiantao;China;;1140100
Amritsar;India;;1132383
Callao;Peru;admin;1129854
Monterrey;Mexico;admin;1135512
Aligarh;India;;1131160
Yingchuan;China;minor;1131896
Ciudad Nezahualcoyotl;Mexico;;1109363
Tripoli;Libya;primary;1126000
Nampo;North Korea;;1127000
Rostov;Russia;admin;1125299
Tegucigalpa;Honduras;primary;1126534
Tbilisi;Georgia;primary;1118035
Guwahati;India;;1116267
Ufa;Russia;admin;1115560
Fes;Morocco;admin;1112072
Bien Hoa;Vietnam;admin;1104000
N'Djamena;Chad;primary;1092066
Ikare;Nigeria;minor;1099931
Salt Lake City;United States;admin;1098526
Bhilai;India;;1097000
Haora;India;;1077075
Tamale;Ghana;admin;1095808
Xibeijie;China;minor;1095947
Copenhagen;Denmark;primary;1085000
Nezahualcoyotl;Mexico;minor;1077208
Hanchuan;China;;1092700
Gongzhuling;China;;1092692
Krasnoyarsk;Russia;admin;1083865
Cologne;Germany;;1083498
Yicheng;China;minor;1082929
Zhufeng;China;;1081960
Sao Goncalo;Brazil;;1077687
Nashville;United States;admin;1081903
Yerevan;Armenia;primary;1075800
Nur-Sultan;Kazakhstan;primary;1078362
Nouakchott;Mauritania;primary;1077169
Vereeniging;South Africa;;1074000
Richmond;United States;admin;1075798
Sao Luis;Brazil;admin;1073893
Ranchi;India;admin;1073440
San Pedro Sula;Honduras;admin;1073824
Taixing;China;minor;1073921
Gwalior;India;;1069276
Memphis;United States;;1066967
Goyang;South Korea;minor;1061929
Bezwada;India;;1048240
Edmonton;Canada;admin;1062643
Bishkek;Kyrgyzstan;primary;1053900
Mizhou;China;minor;1060000
Tunis;Tunisia;primary;1056247
Xishan;China;minor;1060000
Ezhou;China;minor;1059700
Barquisimeto;Venezuela;admin;1059092
Sendai;Japan;admin;1058070
Hegang;China;minor;1058665
Kathmandu;Nepal;primary;975453
Mexicali;Mexico;admin;1049792
Voronezh;Russia;admin;1047549
Perm;Russia;admin;1048005
Changwon;South Korea;admin;1046054
Zhongwei;China;minor;1046000
Shouguang;China;;1039205
Bogor;Indonesia;;1030720
Raleigh;United States;admin;1038738
Cartagena;Colombia;admin;1036412
Chandigarh;India;admin;1026459
Matola;Mozambique;;1032197
Jodhpur;India;;1033918
Ogbomoso;Nigeria;minor;1032000
Shymkent;Kazakhstan;admin;1028673
Niamey;Niger;primary;1026848
Taizhou;China;minor;1030200
Managua;Nicaragua;primary;1028808
Bagam;Indonesia;;1029808
Shubra al Khaymah;Egypt;;1025569
Maceio;Brazil;admin;1025360
Monrovia;Liberia;primary;1021762
Wafangdian;China;;1024876
Zhongxiang;China;;1022514
Odesa;Ukraine;admin;1017699
Port-au-Prince;Haiti;primary;987310
New Orleans;United States;;1020886
Villahermosa;Mexico;admin;1013484
Thu Duc;Vietnam;minor;1013795
Volgograd;Russia;admin;1015586
Mysore;India;;1014227
Islamabad;Pakistan;primary;1014825
Xinyi;China;;1013900
Raipur;India;admin;1010087
Arequipa;Peru;admin;1008290
Port Harcourt;Nigeria;admin;1005904
Louisville;United States;;1005654
Zaoyang;China;;1004741
Shuizhai;China;;1003698
Xingyi;China;;1004132
Kota;India;;1001694
Quetta;Pakistan;admin;1001205
Ottawa;Canada;primary;989567
Stockholm;Sweden;primary;975819
Asmara;Eritrea;primary;963000
Freetown;Sierra Leone;primary;951000
Vientiane;Laos;primary;948487
Jerusalem;Israel;primary;919438
Bangui;Central African Republic;primary;889231
Panama City;Panama;primary;880691
Amsterdam;Netherlands;primary;862965
Lome;Togo;primary;837437
Libreville;Gabon;primary;797003
Zagreb;Croatia;primary;790017
Dushanbe;Tajikistan;primary;778500
Lilongwe;Malawi;primary;781538
Cotonou;Benin;primary;762000
Colombo;Sri Lanka;primary;752993
Pretoria;South Africa;primary;741651
Winnipeg;Canada;admin;705244
Quebec City;Canada;admin;705103
Oslo;Norway;primary;693494
Athens;Greece;primary;664046
Bujumbura;Burundi;primary;658859
Helsinki;Finland;primary;642045
Skopje;Macedonia;primary;640000
Chisinau;Moldova;primary;639000
Riga;Latvia;primary;614618
Kingston;Jamaica;primary;580000
Rabat;Morocco;primary;572717
Vilnius;Lithuania;primary;574147
San Salvador;El Salvador;primary;567698
Djibouti;Djibouti;primary;562000
Dublin;Ireland;primary;553165
The Hague;Netherlands;primary;537833
Asuncion;Paraguay;primary;524190
Lisbon;Portugal;primary;506654
Bratislava;Slovakia;primary;475503
Kitchener;Canada;;470015
Tallinn;Estonia;primary;438341
Beirut;Lebanon;primary;361366
Cape Town;South Africa;primary;433688
Tirana;Albania;primary;418495
Wellington;New Zealand;primary;418500
Dodoma;Tanzania;primary;410956
Halifax;Canada;admin;403131
Bissau;Guinea-Bissau;primary;395954
Canberra;Australia;primary;381488
Juba;South Sudan;primary;372410
Yamoussoukro;Côte d'Ivoire;primary;355573
Victoria;Canada;admin;335696
Maseru;Lesotho;primary;330790
Nicosia;Cyprus;primary;330000
Windhoek;Namibia;primary;322500
Port Moresby;Papua New Guinea;primary;317374
Porto-Novo;Benin;primary;300000
Sucre;Bolivia;primary;300000
San Jose;Costa Rica;primary;288054
Ljubljana;Slovenia;primary;286745
